date,store,item,sales,promo_flag,weather,staff_count,notes
2023-02-09,4.0,3.0,106.43,1.0,cloudy,19,Check
2023-01-02,4.0,3.0,66.44,0.0,# *,12,
2023-02-21,4.0,6.0,95.84,0.0,nan,6,
2023-03-21,5.0,1.0,87.57,1.0,# *,14,Check
2023-01-28,5.0,10.0,76.27,1.0,nan,7,# *
2023-03-06,1.0,4.0,132.83,0.0,# *,17,
2023-03-18,5.0,7.0,101.93,0.0,rainy,13,Check
2023-02-15,5.0,5.0,102.75,,# *,9,Check
2023-02-28,3.0,1.0,,0.0,rainy,11,
2023-02-08,4.0,1.0,50.31,0.0,# *,8,
2023-01-25,5.0,6.0,99.58,,nan,12,# *
2023-01-11,4.0,8.0,54.23,0.0,cloudy,11,
2023-03-27,3.0,10.0,,,sunny,8,
2023-01-19,1.0,4.0,93.88,,cloudy,7,
2023-02-28,5.0,6.0,110.77,1.0,# *,18,
2023-01-08,3.0,4.0,38.83,0.0,# *,8,
2023-01-08,4.0,5.0,,1.0,cloudy,15,
2023-01-17,3.0,9.0,32.9,,cloudy,19,# *
2023-03-20,1.0,8.0,123.45,1.0,# *,8,# *
2023-03-07,1.0,10.0,135.07,,# *,5,# *
2023-01-15,5.0,,88.78,0.0,rainy,12,Check
2023-02-21,3.0,3.0,91.47,1.0,nan,17,Check
2023-02-01,4.0,7.0,58.05,0.0,cloudy,10,Check
2023-03-05,4.0,10.0,110.19,,# *,7,Check
2023-03-25,5.0,3.0,92.18,0.0,cloudy,17,# *
2023-02-03,,3.0,53.38,,cloudy,11,# *
2023-02-28,3.0,6.0,76.0,,# *,13,Check
2023-01-14,4.0,6.0,79.76,,rainy,18,Check
2023-02-07,5.0,2.0,79.19,1.0,rainy,8,# *
2023-03-06,4.0,1.0,53.45,0.0,rainy,7,
2023-01-26,2.0,9.0,93.36,0.0,# *,5,
2023-01-12,3.0,4.0,46.32,1.0,cloudy,8,Check
2023-02-02,3.0,4.0,52.46,1.0,# *,5,
2023-02-23,4.0,8.0,59.68,0.0,# *,17,
2023-01-21,1.0,2.0,94.8,,cloudy,16,Check
2023-02-21,2.0,4.0,,1.0,sunny,12,# *
2023-03-24,5.0,7.0,83.74,0.0,sunny,13,# *
2023-03-21,1.0,2.0,105.25,0.0,# *,10,
2023-02-16,1.0,6.0,94.62,0.0,# *,12,
2023-03-11,4.0,8.0,78.26,0.0,# *,17,
2023-02-06,5.0,3.0,65.71,0.0,nan,18,
2023-03-30,3.0,7.0,64.26,0.0,sunny,12,Check
2023-02-11,2.0,1.0,,,cloudy,12,# *
2023-03-25,2.0,5.0,141.3,0.0,cloudy,18,
2023-03-11,5.0,2.0,107.58,0.0,rainy,19,# *
2023-03-10,1.0,6.0,121.25,1.0,rainy,6,
2023-02-12,1.0,6.0,120.87,,sunny,5,Check
2023-02-18,1.0,10.0,146.01,1.0,nan,6,# *
2023-01-22,5.0,7.0,70.13,1.0,cloudy,16,
2023-03-18,3.0,8.0,102.12,1.0,rainy,9,# *
2023-02-13,3.0,5.0,88.09,,sunny,11,# *
2023-01-09,4.0,1.0,34.99,,nan,6,
2023-01-13,2.0,3.0,69.13,1.0,cloudy,7,
2023-01-25,2.0,6.0,37.07,1.0,nan,12,# *
2023-01-18,5.0,9.0,60.57,1.0,nan,5,Check
2023-03-14,4.0,7.0,60.16,0.0,rainy,12,# *
2023-03-06,4.0,8.0,62.73,0.0,cloudy,6,
2023-01-26,2.0,3.0,75.04,1.0,rainy,13,
2023-01-28,4.0,7.0,64.7,,nan,13,
2023-01-02,3.0,7.0,32.77,1.0,cloudy,16,# *
2023-01-21,5.0,3.0,64.26,0.0,sunny,9,Check
2023-03-19,2.0,1.0,108.69,,sunny,19,Check
2023-03-26,4.0,10.0,134.54,,rainy,18,Check
2023-01-10,2.0,,66.22,,nan,18,# *
2023-03-23,1.0,7.0,63.26,0.0,cloudy,9,
2023-02-26,3.0,5.0,123.88,,# *,15,Check
2023-02-14,2.0,10.0,88.37,,rainy,19,Check
2023-03-25,1.0,9.0,138.92,1.0,# *,13,
2023-01-05,3.0,4.0,41.11,,cloudy,9,Check
2023-01-21,4.0,4.0,60.11,,# *,15,Check
2023-02-02,4.0,8.0,49.3,,sunny,6,
2023-01-25,5.0,4.0,76.77,1.0,cloudy,14,# *
2023-02-08,1.0,5.0,,,nan,7,# *
2023-02-11,5.0,3.0,72.35,0.0,sunny,19,
2023-01-02,2.0,6.0,36.98,0.0,# *,10,
2023-01-03,2.0,7.0,50.11,1.0,sunny,14,
2023-02-22,5.0,8.0,49.98,0.0,rainy,18,# *
2023-02-10,4.0,9.0,109.95,0.0,cloudy,5,
2023-03-23,5.0,7.0,85.77,1.0,sunny,9,# *
2023-01-18,4.0,9.0,94.96,1.0,# *,6,
2023-01-02,5.0,2.0,59.78,,rainy,5,
2023-03-10,2.0,8.0,103.14,1.0,sunny,5,Check
2023-02-01,1.0,4.0,93.62,1.0,# *,13,
2023-02-25,4.0,7.0,62.59,,cloudy,18,
2023-01-17,4.0,5.0,40.81,1.0,cloudy,18,
2023-02-03,5.0,8.0,41.08,,cloudy,5,
2023-02-25,5.0,3.0,78.33,,nan,19,
2023-02-08,2.0,1.0,63.45,0.0,rainy,18,Check
2023-03-11,5.0,7.0,99.41,1.0,cloudy,18,
2023-03-01,1.0,1.0,102.85,,nan,16,# *
2023-03-13,3.0,3.0,113.99,0.0,sunny,6,# *
2023-01-15,2.0,4.0,97.67,0.0,cloudy,8,
2023-02-23,2.0,4.0,121.9,,sunny,14,Check
2023-02-24,3.0,2.0,59.91,0.0,rainy,19,# *
2023-03-05,3.0,,115.28,,cloudy,5,Check
2023-01-10,4.0,5.0,37.33,0.0,# *,13,# *
2023-02-01,2.0,7.0,64.98,0.0,nan,6,
2023-01-11,4.0,1.0,,1.0,cloudy,13,
2023-02-21,4.0,4.0,64.55,,# *,11,Check
2023-01-11,5.0,4.0,52.57,0.0,cloudy,8,
2023-01-18,4.0,6.0,70.16,1.0,# *,19,Check
2023-02-08,1.0,3.0,112.32,1.0,nan,8,
2023-02-27,5.0,6.0,113.22,0.0,sunny,11,# *
2023-03-23,5.0,3.0,68.52,,# *,8,Check
2023-01-18,4.0,4.0,58.92,0.0,# *,13,
2023-01-14,5.0,1.0,69.22,0.0,# *,18,
2023-02-09,4.0,9.0,101.67,1.0,sunny,19,
2023-03-02,1.0,3.0,131.32,0.0,rainy,19,# *
2023-03-01,4.0,6.0,98.32,1.0,sunny,5,Check
2023-03-16,1.0,8.0,122.86,1.0,cloudy,16,
2023-01-03,2.0,8.0,71.86,,# *,17,Check
2023-01-01,5.0,5.0,77.67,0.0,# *,11,Check
2023-01-07,5.0,2.0,77.99,1.0,# *,19,# *
2023-03-29,5.0,5.0,140.2,0.0,# *,9,Check
2023-02-11,5.0,7.0,80.31,1.0,# *,10,
2023-01-09,2.0,4.0,88.32,1.0,nan,7,Check
2023-03-28,4.0,6.0,128.61,0.0,# *,11,# *
2023-01-01,1.0,9.0,75.65,1.0,nan,18,
2023-02-15,5.0,10.0,85.96,0.0,sunny,14,# *
2023-01-03,2.0,2.0,53.38,,nan,14,
2023-03-25,4.0,10.0,137.22,0.0,sunny,13,
2023-02-09,5.0,2.0,67.75,0.0,rainy,12,# *
2023-01-13,4.0,2.0,66.59,,sunny,19,# *
2023-02-16,5.0,2.0,69.3,0.0,rainy,7,
2023-02-15,1.0,9.0,87.5,,sunny,19,# *
2023-01-05,4.0,2.0,61.77,0.0,rainy,17,
2023-03-01,3.0,9.0,43.01,1.0,rainy,12,
2023-03-20,5.0,5.0,128.61,,nan,13,Check
2023-01-16,2.0,10.0,60.07,1.0,sunny,19,# *
2023-01-10,3.0,1.0,52.06,0.0,cloudy,15,# *
2023-03-22,2.0,1.0,95.38,0.0,# *,8,Check
2023-02-16,1.0,4.0,111.75,,nan,11,
2023-02-03,1.0,10.0,100.05,1.0,# *,11,
2023-01-13,2.0,7.0,44.99,1.0,rainy,11,
2023-01-01,2.0,8.0,66.63,,# *,19,# *
2023-03-31,4.0,8.0,,0.0,nan,9,Check
2023-02-27,1.0,2.0,103.58,1.0,cloudy,6,# *
2023-03-18,4.0,3.0,145.18,1.0,nan,15,# *
2023-01-01,4.0,6.0,71.17,1.0,cloudy,11,
2023-03-21,1.0,1.0,124.54,0.0,rainy,17,# *
2023-01-24,1.0,6.0,85.89,1.0,rainy,19,Check
2023-03-21,4.0,8.0,77.05,,cloudy,18,
2023-03-14,1.0,2.0,101.72,1.0,# *,10,Check
2023-02-10,4.0,10.0,86.15,0.0,rainy,18,
2023-01-06,1.0,2.0,55.33,0.0,# *,16,# *
2023-03-05,2.0,5.0,124.81,0.0,# *,19,
2023-01-15,3.0,3.0,76.17,0.0,cloudy,5,Check
2023-03-09,2.0,2.0,69.24,,rainy,10,
2023-01-12,5.0,9.0,63.69,,# *,5,# *
2023-02-03,1.0,1.0,81.95,1.0,sunny,14,Check
2023-02-05,2.0,5.0,95.81,,cloudy,9,
2023-01-06,4.0,3.0,76.1,1.0,# *,13,# *
2023-01-28,5.0,4.0,74.49,0.0,nan,6,
2023-02-02,5.0,5.0,98.48,0.0,nan,14,Check
2023-03-13,3.0,1.0,77.91,,cloudy,18,# *
2023-01-10,5.0,2.0,52.89,0.0,sunny,17,
2023-01-12,1.0,3.0,91.03,1.0,# *,11,
2023-02-20,4.0,3.0,108.63,1.0,rainy,5,Check
2023-02-14,3.0,5.0,90.35,,# *,12,Check
2023-02-11,2.0,9.0,130.61,0.0,# *,13,
2023-03-01,4.0,9.0,123.98,0.0,cloudy,16,# *
2023-01-01,1.0,8.0,78.26,0.0,rainy,11,
2023-03-16,3.0,6.0,93.24,0.0,rainy,18,
2023-01-10,4.0,6.0,74.46,1.0,cloudy,8,
2023-03-19,1.0,6.0,137.6,,cloudy,5,Check
2023-01-30,1.0,10.0,104.59,1.0,cloudy,12,Check
2023-02-06,3.0,1.0,75.0,1.0,# *,13,
2023-01-17,1.0,6.0,69.62,0.0,# *,8,Check
2023-01-16,3.0,,64.74,1.0,sunny,5,# *
2023-02-16,4.0,3.0,99.81,,rainy,9,
2023-01-22,5.0,5.0,99.66,0.0,nan,8,
2023-02-02,2.0,7.0,56.84,,rainy,6,
2023-01-16,1.0,4.0,85.29,0.0,cloudy,6,Check
2023-03-28,3.0,9.0,57.71,1.0,sunny,15,
2023-01-02,5.0,8.0,42.07,0.0,# *,14,# *
2023-02-11,,4.0,81.86,,cloudy,9,Check
2023-03-02,4.0,5.0,56.08,0.0,cloudy,10,
2023-03-09,5.0,5.0,113.23,1.0,nan,12,
2023-02-15,3.0,6.0,72.42,1.0,# *,9,
2023-02-28,4.0,9.0,110.79,,cloudy,13,# *
2023-03-06,4.0,7.0,71.98,,nan,13,
2023-03-10,4.0,1.0,68.19,0.0,# *,6,
2023-03-30,4.0,9.0,139.9,,# *,17,
2023-02-07,2.0,4.0,93.52,,sunny,13,
2023-01-27,4.0,5.0,36.97,0.0,sunny,16,
2023-02-08,3.0,10.0,68.69,,rainy,11,
2023-03-13,5.0,2.0,97.84,1.0,sunny,15,
2023-03-04,2.0,6.0,62.41,0.0,nan,9,Check
2023-02-13,4.0,8.0,69.38,1.0,rainy,13,Check
2023-01-28,3.0,6.0,75.01,0.0,cloudy,19,
2023-03-15,5.0,10.0,103.32,0.0,# *,18,
2023-03-15,5.0,7.0,79.15,,# *,6,
2023-01-10,1.0,10.0,94.64,1.0,rainy,7,
2023-03-04,5.0,6.0,142.71,1.0,cloudy,10,
2023-01-06,2.0,5.0,58.31,0.0,nan,15,
2023-03-21,3.0,6.0,91.54,0.0,nan,17,
2023-03-06,5.0,6.0,116.84,0.0,cloudy,14,
2023-03-17,5.0,1.0,78.04,0.0,# *,8,
2023-03-26,1.0,1.0,143.1,0.0,rainy,14,# *
2023-03-14,4.0,6.0,107.05,1.0,# *,15,# *
2023-01-17,3.0,4.0,,,cloudy,15,Check
2023-01-19,4.0,4.0,52.15,1.0,nan,9,Check
2023-03-23,1.0,8.0,113.98,,nan,17,
2023-02-02,2.0,2.0,63.27,,sunny,17,
2023-01-02,1.0,8.0,60.29,,sunny,16,# *
2023-01-19,3.0,5.0,65.23,,rainy,10,# *
2023-01-21,1.0,7.0,40.03,0.0,# *,12,Check
2023-03-30,1.0,3.0,143.88,,sunny,9,
2023-01-30,3.0,1.0,73.25,1.0,nan,16,Check
2023-01-16,2.0,8.0,78.07,1.0,rainy,19,Check
2023-01-15,1.0,5.0,89.96,,nan,6,
2023-02-11,5.0,9.0,101.22,0.0,rainy,7,
2023-01-04,2.0,9.0,87.57,0.0,nan,17,
2023-01-23,4.0,7.0,44.85,,rainy,12,
2023-01-14,3.0,4.0,37.53,,nan,15,Check
2023-02-26,3.0,10.0,89.93,1.0,# *,14,
2023-02-17,5.0,8.0,,,# *,17,Check
2023-03-19,2.0,4.0,157.04,,sunny,7,Check
2023-01-09,1.0,4.0,83.93,1.0,cloudy,7,
